Thoi gian,FDI giai ngan,Xuat khau (luy ke nam),Nong nghiep,Thuong mai,Cong nghiep,Xay dung,Cung tien M2,Lam phat co ban,Lam phat,Nha o va,Y te,Van tai,Chi so PMI,Tang truong GDP thuc te
T3 2021,6.5,23.9,0.91,3.23,4.15,0.49,1.97,0.7,1.2,0.8,0.1,0.5,53.6,4.5
T4 2021,6.8,29.8,1.77,4.85,5.55,1.29,2.93,1,2.7,2.8,0.1,17.7,54.7,6.6
T5 2021,6.7,31.1,1.81,5.73,6.73,1,3.7,1.1,2.9,2.9,0,21.2,53.1,6.6
T6 2021,6.8,29.2,1.81,8.16,8.9,0.75,4.43,1.1,2.4,4,0,15.5,44.1,6.6
T7 2021,3.8,26.2,2.06,8.71,9.95,0.84,4.8,1,2.6,4.4,0,13.8,45.1,-6.2
T8 2021,2,21.9,2.18,9.75,11.36,0.56,5.34,1,2.8,4.3,0,13.6,40.2,-6.2
T9 2021,-3.5,18.9,2.58,10.47,12.17,0.45,6.35,0.7,2.1,1.6,0,13.6,40.2,-6.2
T10 2021,-4.1,N/A,3.45,11.48,12.37,0.4,6.58,0.5,1.8,1.1,0,16.5,52.1,5.2
T11 2021,-0.6,18.3,4.74,14.76,13.32,2.87,7.68,0.6,2.1,1.5,0,20.7,52.2,5.2
T12 2021,-1.2,19,6.37,17.84,14.33,4.11,10.66,0.7,1.8,1,0,15.8,52.5,5.2
T1 2022,6.6,29,1.63,2.03,2.59,1.76,2.59,0.7,1.9,3.5,0,14.6,53.7,5
T2 2022,7.2,13.8,1.73,2.36,2.54,1.24,1.81,0.7,1.4,0.4,0,15.5,54.3,5
T3 2022,7.8,15.8,3.96,5.85,4.91,2.9,3.45,1.1,2.4,1.7,0,18.3,51.7,5
T4 2022,7.6,19.4,5.72,7.53,6.26,3.34,3.5,1.5,2.6,2.7,0,16.6,51.7,7.7
T5 2022,7.8,16.7,6.76,8.29,6.95,4.28,3.33,1.6,2.9,2.2,0,18.4,54.7,7.7
T6 2022,0,17.3,7.52,9.94,7.55,6.18,3.78,2,3.4,1.5,0,21.4,54,7.7
T7 2022,10.2,16.6,7.31,9.79,7.83,6.49,3.18,2.6,3.1,1.1,0,15.2,51.2,13.7
T8 2022,10.5,17.3,7.57,10.38,7.55,7.26,2.68,3.1,2.9,1.4,0,8.9,52.7,13.7
T9 2022,16,17.2,7.67,11.86,7.51,8.83,3.21,3.8,3.9,4.4,0.1,6.7,52.5,13.7
T10 2022,15.2,16,7.53,12.43,7.07,9.92,3.08,4.5,4.3,5.4,0.1,1.8,50.6,5.9
T11 2022,15.1,13.4,7.6,13.15,6.13,10.63,3.55,4.8,4.4,6,0.1,0.9,47.4,5.9
T12 2022,13.5,10.6,7.91,15.94,6.45,16.8,6.15,5,4.6,7.1,0.1,-0.2,46.4,5.9
T1 2023,-16.1,-23.5,0.44,-0.6,-0.14,-4.72,0.79,5.2,4.9,6.9,0.1,0.1,47.4,3.3
T2 2023,-4.9,-9,0.76,0.57,0.84,-1.24,0.32,5,4.3,7.9,0.1,-0.2,51.2,3.3
T3 2023,-2.7,-11,1.34,3.41,2.43,-0.91,1.32,4.9,3.4,6.7,0.1,-4.9,47.7,3.3
T4 2023,-1.2,-17.1,1.98,4.37,2.73,-0.24,1.71,4.6,2.8,5.2,0.1,-3.9,46.7,4.1
T5 2023,-0.8,-12.6,1.96,4.86,3.02,0.93,2.05,4.5,2.4,6.4,0.1,-8.9,45.3,4.1
T6 2023,0.5,-11.5,2.49,6.72,3.78,1.67,3.71,4.3,2,6.5,0.1,-12,46.2,4.1
T7 2023,0.8,-10.3,2.22,6.74,3.74,1.88,2.91,4.1,2.1,6.6,0.1,-5.7,48.7,5.3
T8 2023,1.3,-7.9,2.26,8.15,4.28,2.08,4.04,4,3,7.1,0.1,-0.3,50.5,5.3
T9 2023,3.2,-8.2,2.72,10.41,5.95,1.74,5.62,3.8,3.7,7.3,0.2,3.2,49.7,5.3
T10 2023,2.4,-7.1,3.19,11.79,7.14,2.43,5.96,3.4,3.6,6.9,0.2,3.9,49.6,6.7
T11 2023,2.9,-5.9,5.1,14.88,8.04,3.2,7.92,3.2,3.5,5.9,4,1.6,47.3,6.7
T12 2023,3.5,-4.4,6.97,19.84,12.29,6.23,12.46,3,3.6,5.7,6.9,2.6,48.9,6.7
T1 2024,9.6,42,-0.17,-0.49,0.29,-0.97,0,2.7,3.4,6.4,8.2,1.6,50.3,5.7
T2 2024,9.8,19.2,-0.16,-0.5,0.96,-1.6,-0.53,3,4,5,8.2,2.6,50.4,5.7
T3 2024,7.1,17,0.86,2,2.98,0.01,0.09,2.8,4,4.9,8.2,2.7,49.9,5.7
T4 2024,7.4,15,1.16,2.77,3.75,0.65,0.13,2.8,4.4,6,9.5,4.2,50.3,6.9
T5 2024,7.8,15.2,1.76,3.82,5.6,1.18,0.82,2.7,4.4,5.3,9.5,5.6,50.3,6.9
T6 2024,8.2,14.5,3.52,5.93,7.26,3.25,3.21,2.6,4.3,5.6,10.3,3,54.7,6.9
T7 2024,8.4,15.7,3.28,6.31,7.37,3.18,2.52,2.6,4.4,5.6,10.4,4.4,54.7,7.4
T8 2024,8,15.8,4.13,7.55,8.4,4.7,4.12,2.53,3.45,5,10.63,-1.46,52.4,7.4
T9 2024,8.9,15.4,4.93,9.66,9.33,5.46,5.94,2.54,2.63,4.37,10.58,-5.33,47.3,7.4
T10 2024,8.8,14.9,5.3,10.85,10.56,5.59,6.93,2.68,2.89,4.21,10.58,-3.25,51.2,7.55
T11 2024,7.1,14.4,6.46,12.98,11.47,5.31,N/A,2.77,2.77,5.06,6.55,-3.3,50.8,7.55
T12 2024,9.4,14.3,N/A,N/A,N/A,N/A,N/A,2.85,2.94,5.16,6.6,-0.89,49.8,7.55
